#ID,MAC,SSID,Frequency,Signal,Alt,Lon,Lat,Time
1,84:18:3a:1c:c9:a8,,-1,-84.0,32.17079313214802,34.80080648046821,33.8917090948775,2017-10-27 16:21:37
2,1c:b9:c4:16:e5:a8,Ariel_University,6,-76.0,32.10345388843054,35.20981053647251,700.8211763745459,2017-12-03 08:46:48
3,1c:b9:c4:16:12:e8,,-1,-90.0,32.10358120061593,35.20879532777539,702.3207686528216,2017-12-03 08:45:42
4,ac:a3:1e:c9:5a:c0,,-1,-90.0,32.16415216,34.806838230000004,22.000000000000004,2017-10-27 16:38:05
5,64:a5:c3:6a:0b:a2,,-1,-79.0,32.16439871,34.811024986666666,38.333333333333336,2017-10-27 16:41:40
6,06:ae:db:3a:64:05,BezeqFree,1,-84.0,32.102458386443125,35.20743113335047,694.8881937656643,2017-12-03 08:37:27
7,7c:b7:33:a1:7e:98,,-1,-87.0,32.16986031,34.810977215,19.5,2017-10-27 16:27:48
8,0c:f4:d5:1b:0b:18,,-1,-86.0,32.16832612500001,34.800189575,28.0,2017-10-27 16:23:43
9,fc:3f:db:a0:28:77,,-1,-86.0,32.17256514,34.801643285000004,34.5,2017-10-27 16:22:07
10,a0:48:1c:65:96:33,,-1,-88.0,32.16900663367808,34.800246040130105,28.08213144262229,2017-10-27 16:23:25
11,88:dc:96:17:c1:5c,,-1,-53.0,32.16196797464599,34.80937446019125,25.952242092839768,2017-10-27 16:41:07
12,d4:6e:0e:3c:2f:99,,-1,-84.0,32.17083090536711,34.80812486168057,44.2161572777552,2017-10-27 16:25:58
13,d8:38:fc:26:02:98,,-1,-80.0,32.16881467543641,34.80024524395652,33.82621373839562,2017-10-27 16:20:57
14,c8:d3:ff:79:a3:db,,-1,-90.0,32.16737009,34.80723953,30.0,2017-10-27 16:36:20
15,f8:e9:03:0f:24:4a,,-1,-91.0,32.16192277,34.80882081,27.0,2017-10-27 16:39:43
16,10:5a:f7:06:d2:0a,,-1,-89.0,32.17329001,34.808952094999995,39.5,2017-10-27 16:26:40
17,18:d6:c7:ef:1e:a4,,-1,-85.0,32.16862086498119,34.80636300235725,34.38942555559529,2017-10-27 16:25:51
18,d0:0f:6d:f1:35:2f,Sveta,4,-85.0,32.10251814263996,35.20734901460898,698.9056862429085,2017-12-03 08:37:15
