#ID,MAC,SSID,Frequency,Signal,Alt,Lon,Lat,Time
1,b2:6c:ac:9f:f1:c5,paysday,2,-82.0,32.104189038012045,35.209166242472186,718.0640349665068,2017-12-03 08:45:33
2,3c:52:82:ef:c4:3c,DIRECT-3B-HP DeskJet 3630 series,6,-61.0,32.10296307854524,35.20966159179388,701.5541042540443,2017-12-03 09:00:33
3,1c:b9:c4:16:e5:a8,Ariel_University,6,-76.0,32.103483375356575,35.209835025240906,699.5967379545643,2017-12-03 08:46:48
4,1c:b9:c4:16:12:e8,Ariel_University,1,-90.0,32.10358120061593,35.20879532777539,702.3207686528216,2017-12-03 08:45:42
5,ec:8c:a2:88:94:17,,44,-72.0,32.102870759011275,35.20876459357887,690.2253272679154,2017-12-03 08:46:06
6,06:ae:db:3a:64:05,BezeqFree,1,-84.0,32.102458386443125,35.20743113335047,694.8881937656644,2017-12-03 08:37:27
7,1c:b9:c4:16:ed:3c,Ariel_University,44,-71.0,32.102967844522254,35.20966257658926,701.5531820599184,2017-12-03 09:02:19
8,1c:b9:c4:14:36:fc,Ariel_University,36,-84.0,32.10423235881814,35.2111784466841,704.2993113818352,2017-12-03 08:42:38
9,d0:0f:6d:f1:35:2f,Sveta,4,-85.0,32.10251814263996,35.20734901460898,698.9056862429085,2017-12-03 08:37:15
10,ec:8c:a2:88:a9:27,,44,-81.0,32.10377986390148,35.207818162044134,690.4231966047739,2017-12-03 08:38:22
11,ec:8c:a2:08:a9:28,Ariel_University,11,-71.0,32.10343964525814,35.20780117095074,690.6640863513989,2017-12-03 08:37:58
12,1c:b9:c4:15:3a:3c,Ariel_University,44,-82.0,32.102049198139355,35.20957634222167,691.331833645041,2017-12-03 08:41:47
13,b2:6c:ac:a0:3d:eb,sinusafe,3,-72.0,32.103037182467155,35.20922200544526,689.9999999999999,2017-12-03 08:45:30
14,ec:8c:a2:08:a9:2c,Ariel_University,44,-81.0,32.104022465066386,35.20786579674153,690.1661107104795,2017-12-03 08:38:25
15,1c:b9:c4:16:04:7c,Ariel_University,60,-81.0,32.102387876164094,35.20903740018327,701.3708999391388,2017-12-03 08:46:15
16,14:ae:db:58:0d:6d,__ery,11,-91.0,32.10258798763252,35.20759021123835,693.1085203108703,2017-12-03 08:37:33
17,1c:b9:c4:16:ed:48,Ariel_University,6,-81.0,32.10381925496951,35.21037222280892,699.634126394052,2017-12-03 08:47:06
18,00:1a:dd:f4:fc:85,Afikim_Wifi,8,-78.0,32.106211489963755,35.21194838735254,689.2763252871639,2017-12-03 08:39:19
19,ec:8c:a2:08:94:18,Ariel_University,1,-60.0,32.103246905945305,35.208755557443524,692.0487514863258,2017-12-03 08:45:45
20,ec:8c:a2:08:a9:38,Ariel_University,6,-81.0,32.1027696878486,35.207536172161696,695.1730814282531,2017-12-03 08:37:13
21,f8:e7:1e:33:87:38,Police_Shomron ,1,-86.0,32.106211489963755,35.21194838735254,689.2763252871639,2017-12-03 08:39:19
22,00:1a:dd:f4:fc:84,,8,-77.0,32.106211489963755,35.21194838735254,689.2763252871639,2017-12-03 08:39:19
23,ec:8c:a2:88:a9:37,,36,-81.0,32.103254567862166,35.20776621667453,690.8153989055744,2017-12-03 08:37:55
24,a2:6c:ac:a0:60:4d,incentive2,1,-72.0,32.10460788229774,35.20973802125795,689.7647291040788,2017-12-03 08:45:13
25,1c:b9:c4:14:2b:c8,Ariel_University,6,-69.0,32.10506367294511,35.21102584699575,708.2947335777865,2017-12-03 08:44:55
26,b2:6c:ac:9f:fb:1f,iagree,1,-69.0,32.10461482776755,35.209739654174484,690.2103154026798,2017-12-03 08:40:58
27,ec:8c:a2:08:a9:3c,Ariel_University,36,-75.0,32.10294522725105,35.20767327460506,691.0835484362619,2017-12-03 08:37:39
